instance_id,title,weighted_instance_score,implementable_sections,total_section_weight,score_file,source_mapping
CPython_PEP-750_Template-Strings_PR-132662,CPython - PEP 750: Template Strings,8.8,13,12.5,scores/CPython_PEP-750_Template-Strings_PR-132662.md,requirement_pr_pairs/CPython_PEP-750_Template-Strings_PR-132662.md
CPython_PEP-793_PyModExport-A-new-entry-point-for-C-extension-modules_PR-140556,CPython - PEP 793: PyModExport: A new entry point for C extension modules,9.1,5,5.0,scores/CPython_PEP-793_PyModExport-A-new-entry-point-for-C-extension-modules_PR-140556.md,requirement_pr_pairs/CPython_PEP-793_PyModExport-A-new-entry-point-for-C-extension-modules_PR-140556.md
CPython_PEP-810_Explicit-lazy-imports_PR-142351,CPython - PEP 810: Explicit Lazy Imports,9.1,9,8.6,scores/CPython_PEP-810_Explicit-lazy-imports_PR-142351.md,requirement_pr_pairs/CPython_PEP-810_Explicit-lazy-imports_PR-142351.md
CPython_PEP-617_New-PEG-parser-for-CPython_PR-19503,CPython - PEP 617: New PEG parser for CPython,8.8,5,4.4,scores/CPython_PEP-617_New-PEG-parser-for-CPython_PR-19503.md,requirement_pr_pairs/CPython_PEP-617_New-PEG-parser-for-CPython_PR-19503.md
CPython_PEP-634_Structural-Pattern-Matching-Specification_PR-22917,CPython - PEP 634: Structural Pattern Matching: Specification,9.0,15,15.0,scores/CPython_PEP-634_Structural-Pattern-Matching-Specification_PR-22917.md,requirement_pr_pairs/CPython_PEP-634_Structural-Pattern-Matching-Specification_PR-22917.md
CPython_PEP-654_Exception-Groups-and-except_PR-29581,CPython - PEP-654: Exception Groups and except*,9.2,12,11.0,scores/CPython_PEP-654_Exception-Groups-and-except_PR-29581.md,requirement_pr_pairs/CPython_PEP-654_Exception-Groups-and-except_PR-29581.md
CPython_PEP-680_tomllib-Support-for-Parsing-TOML-in-the-Standard-Library_PR-31498,CPython - PEP 680: tomllib: Support for Parsing TOML in the Standard Library,9.1,1,1.0,scores/CPython_PEP-680_tomllib-Support-for-Parsing-TOML-in-the-Standard-Library_PR-31498.md,requirement_pr_pairs/CPython_PEP-680_tomllib-Support-for-Parsing-TOML-in-the-Standard-Library_PR-31498.md
ClickHouse_Issue-26748_Parallel-processing-on-replicas-reworked_PR-43772,ClickHouse - Issue-26748 Parallel Processing on Replicas,8.4,1,1.0,scores/ClickHouse_Issue-26748_Parallel-processing-on-replicas-reworked_PR-43772.md,requirement_pr_pairs/ClickHouse_Issue-26748_Parallel-processing-on-replicas-reworked_PR-43772.md
Consul_Issue-6356_Connect-Allow-WAN-federation-via-Mesh-Gateways_PR-6884,Consul - Issue-6356 Connect: Allow WAN federation via Mesh Gateways,8.4,2,1.6,scores/Consul_Issue-6356_Connect-Allow-WAN-federation-via-Mesh-Gateways_PR-6884.md,requirement_pr_pairs/Consul_Issue-6356_Connect-Allow-WAN-federation-via-Mesh-Gateways_PR-6884.md
Django_DEP-0201-Simplified-routing-syntax_PR-7482,Django - DEP 0201: Simplified Routing Syntax,8.9,7,6.6,scores/Django_DEP-0201-Simplified-routing-syntax_PR-7482.md,requirement_pr_pairs/Django_DEP-0201-Simplified-routing-syntax_PR-7482.md
DuckDB_Issue-14829_ENV-var-interpolation-does-not-work-with-EXTRA_HTTP_HEADERS_PR-15801,DuckDB - Issue-14829 ENV Var Interpolation for HTTP Secrets,8.8,1,1.0,scores/DuckDB_Issue-14829_ENV-var-interpolation-does-not-work-with-EXTRA_HTTP_HEADERS_PR-15801.md,requirement_pr_pairs/DuckDB_Issue-14829_ENV-var-interpolation-does-not-work-with-EXTRA_HTTP_HEADERS_PR-15801.md
Elasticsearch_Issue-32850_Logging-changes-to-support-Beats-Elasticsearch-module-inclu_PR-36833,Elasticsearch - Issue-32850 Logging Changes for Beats Module,9.2,1,0.6,scores/Elasticsearch_Issue-32850_Logging-changes-to-support-Beats-Elasticsearch-module-inclu_PR-36833.md,requirement_pr_pairs/Elasticsearch_Issue-32850_Logging-changes-to-support-Beats-Elasticsearch-module-inclu_PR-36833.md
Electron_RFC_0008-preload-realm_PR-44411,Electron - RFC 0008: Preload Realm,9.0,5,5.0,scores/Electron_RFC_0008-preload-realm_PR-44411.md,requirement_pr_pairs/Electron_RFC_0008-preload-realm_PR-44411.md
FastAPI_PEP-593_Flexible-function-and-variable-annotations_PR-4871,FastAPI - PEP 593: Flexible Function and Variable Annotations,9.3,2,2.0,scores/FastAPI_PEP-593_Flexible-function-and-variable-annotations_PR-4871.md,requirement_pr_pairs/FastAPI_PEP-593_Flexible-function-and-variable-annotations_PR-4871.md
Godot-Engine_Issue-3789_Allow-to-manage-node-groups-from-the-project-settings_PR-60965,Godot Engine - Issue-3789 Manage Node Groups from Project Settings,8.8,2,2.0,scores/Godot-Engine_Issue-3789_Allow-to-manage-node-groups-from-the-project-settings_PR-60965.md,requirement_pr_pairs/Godot-Engine_Issue-3789_Allow-to-manage-node-groups-from-the-project-settings_PR-60965.md
Godot-Engine_Issue-56_Add-static-type-hints-for-dictionary-members_PR-78656,Godot Engine - Issue-56 Static Type Hints for Dictionary Members,8.2,1,1.0,scores/Godot-Engine_Issue-56_Add-static-type-hints-for-dictionary-members_PR-78656.md,requirement_pr_pairs/Godot-Engine_Issue-56_Add-static-type-hints-for-dictionary-members_PR-78656.md
Godot-Engine_Issue-2159_Add-a-way-to-loop-one-section-of-an-animation-in-AnimationPl_PR-91765,Godot Engine - Loop section of animation (Issue-2159),9.0,2,2.0,scores/Godot-Engine_Issue-2159_Add-a-way-to-loop-one-section-of-an-animation-in-AnimationPl_PR-91765.md,requirement_pr_pairs/Godot-Engine_Issue-2159_Add-a-way-to-loop-one-section-of-an-animation-in-AnimationPl_PR-91765.md
Kubernetes_KEP-3866_nftables-proxy_PR-121046,Kubernetes - KEP-3866: nftables-based kube-proxy Backend,9.1,6,5.4,scores/Kubernetes_KEP-3866_nftables-proxy_PR-121046.md,requirement_pr_pairs/Kubernetes_KEP-3866_nftables-proxy_PR-121046.md
Kubernetes_KEP-4358_custom-resource-field-selectors_PR-122717,Kubernetes - KEP-4358: Custom Resource Field Selectors,8.6,7,5.2,scores/Kubernetes_KEP-4358_custom-resource-field-selectors_PR-122717.md,requirement_pr_pairs/Kubernetes_KEP-4358_custom-resource-field-selectors_PR-122717.md
Kubernetes_KEP-4960_container-stop-signals_PR-130556,Kubernetes - KEP-4960: Container Stop Signals,9.2,7,5.8,scores/Kubernetes_KEP-4960_container-stop-signals_PR-130556.md,requirement_pr_pairs/Kubernetes_KEP-4960_container-stop-signals_PR-130556.md
Kubernetes_KEP-5075_dra-consumable-capacity_PR-132522,Kubernetes - KEP-5075: DRA Consumable Capacity,9.0,10,7.8,scores/Kubernetes_KEP-5075_dra-consumable-capacity_PR-132522.md,requirement_pr_pairs/Kubernetes_KEP-5075_dra-consumable-capacity_PR-132522.md
Kubernetes_KEP-4020_unknown-version-interoperability-proxy_PR-133648,Kubernetes - KEP-4020 Unknown Version Interoperability Proxy,9.1,7,5.8,scores/Kubernetes_KEP-4020_unknown-version-interoperability-proxy_PR-133648.md,requirement_pr_pairs/Kubernetes_KEP-4020_unknown-version-interoperability-proxy_PR-133648.md
Kubernetes_KEP-5598_opportunistic-batching_PR-135231,Kubernetes - KEP-5598: Opportunistic Batching,8.7,10,7.5,scores/Kubernetes_KEP-5598_opportunistic-batching_PR-135231.md,requirement_pr_pairs/Kubernetes_KEP-5598_opportunistic-batching_PR-135231.md
LLVM_RFC-__ptrauth-qualifier_PR-100830,LLVM - RFC: `__ptrauth` qualifier,9.1,5,5.0,scores/LLVM_RFC-__ptrauth-qualifier_PR-100830.md,requirement_pr_pairs/LLVM_RFC-__ptrauth-qualifier_PR-100830.md
NumPy_NEP-19_NEP-19-Random-number-generator-policy_PR-13163,NumPy - NEP 19: Random Number Generator Policy,8.6,1,1.0,scores/NumPy_NEP-19_NEP-19-Random-number-generator-policy_PR-13163.md,requirement_pr_pairs/NumPy_NEP-19_NEP-19-Random-number-generator-policy_PR-13163.md
NumPy_NEP-55_string-dtype_PR-25347,NumPy - NEP 55: Add a UTF-8 Variable-Width String DType to NumPy,8.0,19,15.3,scores/NumPy_NEP-55_string-dtype_PR-25347.md,requirement_pr_pairs/NumPy_NEP-55_string-dtype_PR-25347.md
OpenJDK_JEP-423_Region-Pinning-for-G1_PR-16342,OpenJDK - JEP 423: Region Pinning for G1,8.4,2,1.3,scores/OpenJDK_JEP-423_Region-Pinning-for-G1_PR-16342.md,requirement_pr_pairs/OpenJDK_JEP-423_Region-Pinning-for-G1_PR-16342.md
OpenJDK_JEP-461_Stream-Gatherers-Preview_PR-16420,OpenJDK - JEP 461: Stream Gatherers (Preview),9.1,3,2.8,scores/OpenJDK_JEP-461_Stream-Gatherers-Preview_PR-16420.md,requirement_pr_pairs/OpenJDK_JEP-461_Stream-Gatherers-Preview_PR-16420.md
OpenJDK_JEP-476_Module-Import-Declarations-Preview_PR-18614,OpenJDK - JEP 476: Module Import Declarations (Preview),9.1,3,3.0,scores/OpenJDK_JEP-476_Module-Import-Declarations-Preview_PR-18614.md,requirement_pr_pairs/OpenJDK_JEP-476_Module-Import-Declarations-Preview_PR-18614.md
OpenJDK_JEP-391_macOS-AArch64-Port_PR-2200,OpenJDK - JEP 391: macOS/AArch64 Port,8.2,2,1.4,scores/OpenJDK_JEP-391_macOS-AArch64-Port_PR-2200.md,requirement_pr_pairs/OpenJDK_JEP-391_macOS-AArch64-Port_PR-2200.md
OpenJDK_JEP-503_Remove-the-32-bit-x86-Port_PR-23906,OpenJDK - JEP 503: Remove the 32-bit x86 Port,8.4,1,1.0,scores/OpenJDK_JEP-503_Remove-the-32-bit-x86-Port_PR-23906.md,requirement_pr_pairs/OpenJDK_JEP-503_Remove-the-32-bit-x86-Port_PR-23906.md
OpenJDK_JEP-382_New-macOS-Rendering-Pipeline_PR-2403,OpenJDK - JEP 382: New macOS Rendering Pipeline,8.5,2,1.4,scores/OpenJDK_JEP-382_New-macOS-Rendering-Pipeline_PR-2403.md,requirement_pr_pairs/OpenJDK_JEP-382_New-macOS-Rendering-Pipeline_PR-2403.md
OpenJDK_JEP-514_Ahead-of-Time-Command-Line-Ergonomics_PR-24942,OpenJDK - JEP 514: Ahead-of-Time Command-Line Ergonomics,9.1,1,1.0,scores/OpenJDK_JEP-514_Ahead-of-Time-Command-Line-Ergonomics_PR-24942.md,requirement_pr_pairs/OpenJDK_JEP-514_Ahead-of-Time-Command-Line-Ergonomics_PR-24942.md
OpenJDK_JEP-500_Prepare-to-Make-Final-Mean-Final_PR-25115,OpenJDK - JEP 500: Prepare to Make Final Mean Final,9.1,6,6.0,scores/OpenJDK_JEP-500_Prepare-to-Make-Final-Mean-Final_PR-25115.md,requirement_pr_pairs/OpenJDK_JEP-500_Prepare-to-Make-Final-Mean-Final_PR-25115.md
OpenJDK_JEP-516_Ahead-of-Time-Object-Caching-with-Any-GC_PR-27732,OpenJDK - JEP 516: Ahead-of-Time Object Caching with Any GC,8.6,3,2.1,scores/OpenJDK_JEP-516_Ahead-of-Time-Object-Caching-with-Any-GC_PR-27732.md,requirement_pr_pairs/OpenJDK_JEP-516_Ahead-of-Time-Object-Caching-with-Any-GC_PR-27732.md
OpenJDK_JEP-387_Elastic-Metaspace_PR-336,OpenJDK - JEP 387: Elastic Metaspace,8.3,1,1.0,scores/OpenJDK_JEP-387_Elastic-Metaspace_PR-336.md,requirement_pr_pairs/OpenJDK_JEP-387_Elastic-Metaspace_PR-336.md
OpenJDK_JEP-416_Reimplement-Core-Reflection-with-Method-Handles_PR-5027,OpenJDK - JEP 416: Reimplement Core Reflection with Method Handles,8.2,2,1.4,scores/OpenJDK_JEP-416_Reimplement-Core-Reflection-with-Method-Handles_PR-5027.md,requirement_pr_pairs/OpenJDK_JEP-416_Reimplement-Core-Reflection-with-Method-Handles_PR-5027.md
OpenJDK_JEP-408_Simple-Web-Server_PR-5505,OpenJDK - JEP 408: Simple Web Server,8.8,4,3.4,scores/OpenJDK_JEP-408_Simple-Web-Server_PR-5505.md,requirement_pr_pairs/OpenJDK_JEP-408_Simple-Web-Server_PR-5505.md
OpenJDK_JEP-431_Sequenced-Collections_PR-7387,OpenJDK - JEP 431: Sequenced Collections,9.0,5,4.3,scores/OpenJDK_JEP-431_Sequenced-Collections_PR-7387.md,requirement_pr_pairs/OpenJDK_JEP-431_Sequenced-Collections_PR-7387.md
Pandas_PDEP-7-Consistent-copy-view-semantics-in-pandas-with-Copy-o_PR-46958,Pandas - PDEP-7: Consistent copy/view semantics in pandas with Copy-on-Write,8.4,4,3.7,scores/Pandas_PDEP-7-Consistent-copy-view-semantics-in-pandas-with-Copy-o_PR-46958.md,requirement_pr_pairs/Pandas_PDEP-7-Consistent-copy-view-semantics-in-pandas-with-Copy-o_PR-46958.md
Presto_Issue-13751_Unnest-Optimizations_PR-13746,Presto - Issue-13751 Unnest Optimizations,9.0,3,3.0,scores/Presto_Issue-13751_Unnest-Optimizations_PR-13746.md,requirement_pr_pairs/Presto_Issue-13751_Unnest-Optimizations_PR-13746.md
Prometheus_Native-Histograms-Prometheus_PR-11447,Prometheus - Native Histograms,8.6,13,11.8,scores/Prometheus_Native-Histograms-Prometheus_PR-11447.md,requirement_pr_pairs/Prometheus_Native-Histograms-Prometheus_PR-11447.md
Ruff_Issue-8368_Allow-override-of-configuration-options-via-the-CLI_PR-9599,Ruff - Issue-8368: Allow override of configuration options via the CLI (PR #9599),8.3,1,1.0,scores/Ruff_Issue-8368_Allow-override-of-configuration-options-via-the-CLI_PR-9599.md,requirement_pr_pairs/Ruff_Issue-8368_Allow-override-of-configuration-options-via-the-CLI_PR-9599.md
Rust_RFC-3308_offset_of_PR-106934,Rust - RFC-3308 offset_of,8.4,1,1.0,scores/Rust_RFC-3308_offset_of_PR-106934.md,requirement_pr_pairs/Rust_RFC-3308_offset_of_PR-106934.md
Rust_RFC-3631_rustdoc-cfgs-handling_PR-138907,Rust - RFC-3631 rustdoc cfgs handling,9.1,6,5.6,scores/Rust_RFC-3631_rustdoc-cfgs-handling_PR-138907.md,requirement_pr_pairs/Rust_RFC-3631_rustdoc-cfgs-handling_PR-138907.md
Rust_RFC-2873_inline-asm_PR-69171,Rust - RFC-2873: inline-asm,9.0,15,14.6,scores/Rust_RFC-2873_inline-asm_PR-69171.md,requirement_pr_pairs/Rust_RFC-2873_inline-asm_PR-69171.md
Scikit-learn_SLEP006_PR-24027,Scikit-learn - SLEP006: Metadata Routing,9.0,1,1.0,scores/Scikit-learn_SLEP006_PR-24027.md,requirement_pr_pairs/Scikit-learn_SLEP006_PR-24027.md
Spring-Framework_Issue-33293_ApplicationContext-reloaded-when-MockitoBean-and-Cont_PR-34723,Spring Framework - Issue-33293 ApplicationContext reloaded when MockitoBean and ContextHierarchy PR-34723,7.8,1,1.0,scores/Spring-Framework_Issue-33293_ApplicationContext-reloaded-when-MockitoBean-and-Cont_PR-34723.md,requirement_pr_pairs/Spring-Framework_Issue-33293_ApplicationContext-reloaded-when-MockitoBean-and-Cont_PR-34723.md
TypeScript_Issue-12754_Augment-Key-during-Type-Mapping_PR-40336,TypeScript - Issue-12754: Augment Key during Type Mapping,9.0,1,1.0,scores/TypeScript_Issue-12754_Augment-Key-during-Type-Mapping_PR-40336.md,requirement_pr_pairs/TypeScript_Issue-12754_Augment-Key-during-Type-Mapping_PR-40336.md
TypeScript_proposal-decorator-metadata_PR-54657,TypeScript - TC39 proposal-decorator-metadata,9.1,3,3.0,scores/TypeScript_proposal-decorator-metadata_PR-54657.md,requirement_pr_pairs/TypeScript_proposal-decorator-metadata_PR-54657.md
Vitess_Issue-11788_phase-4-Viper-Framework_PR-11456,Vitess - Issue-11788 Phase 4: Viper Framework,8.8,1,1.0,scores/Vitess_Issue-11788_phase-4-Viper-Framework_PR-11456.md,requirement_pr_pairs/Vitess_Issue-11788_phase-4-Viper-Framework_PR-11456.md
gRPC_RFC_L67-cpp-callback-api_PR-25728,gRPC - RFC L67: C++ Callback-Based Asynchronous API,8.1,6,6.0,scores/gRPC_RFC_L67-cpp-callback-api_PR-25728.md,requirement_pr_pairs/gRPC_RFC_L67-cpp-callback-api_PR-25728.md
CPython_PEP-701_Syntactic-formalization-of-f-strings_PR-102855,CPython - PEP 701: Syntactic formalization of f-strings,9.2,6,5.8,scores/CPython_PEP-701_Syntactic-formalization-of-f-strings_PR-102855.md,requirement_pr_pairs/CPython_PEP-701_Syntactic-formalization-of-f-strings_PR-102855.md
CPython_PEP-646_Variadic-Generics_PR-31018,CPython - PEP 646: Variadic Generics,9.2,2,2.0,scores/CPython_PEP-646_Variadic-Generics_PR-31018.md,requirement_pr_pairs/CPython_PEP-646_Variadic-Generics_PR-31018.md
CPython_PEP-615_Support-for-the-IANA-Time-Zone-Database-in-the-Standard-Library_PR-19909,CPython - PEP 615: Support for the IANA Time Zone Database in the Standard Library,9.1,10,10.0,scores/CPython_PEP-615_Support-for-the-IANA-Time-Zone-Database-in-the-Standard-Library_PR-19909.md,requirement_pr_pairs/CPython_PEP-615_Support-for-the-IANA-Time-Zone-Database-in-the-Standard-Library_PR-19909.md
CPython_PEP-649_Deferred-Evaluation-Of-Annotations-Using-Descriptors_PR-119891,CPython - PEP 649: Deferred Evaluation Of Annotations Using Descriptors,9.1,3,3.0,scores/CPython_PEP-649_Deferred-Evaluation-Of-Annotations-Using-Descriptors_PR-119891.md,requirement_pr_pairs/CPython_PEP-649_Deferred-Evaluation-Of-Annotations-Using-Descriptors_PR-119891.md
CPython_PEP-791_math-integer-submodule-for-integer-specific-mathematics-functions_PR-133909,CPython - PEP 791: math.integer --- submodule for integer-specific mathematics functions,8.9,1,1.0,scores/CPython_PEP-791_math-integer-submodule-for-integer-specific-mathematics-functions_PR-133909.md,requirement_pr_pairs/CPython_PEP-791_math-integer-submodule-for-integer-specific-mathematics-functions_PR-133909.md
Apache-Kafka_KIP-714_Client-metrics-and-observability_PR-14699,Apache Kafka - KIP-714: Client metrics and observability,9.2,5,5.0,scores/Apache-Kafka_KIP-714_Client-metrics-and-observability_PR-14699.md,requirement_pr_pairs/Apache-Kafka_KIP-714_Client-metrics-and-observability_PR-14699.md
Apache-Flink_FLIP-400_AsyncScalarFunction-for-asynchronous-scalar-function-support_PR-23975,Apache Flink - FLIP-400: AsyncScalarFunction for asynchronous scalar function support,8.1,7,5.9,scores/Apache-Flink_FLIP-400_AsyncScalarFunction-for-asynchronous-scalar-function-support_PR-23975.md,requirement_pr_pairs/Apache-Flink_FLIP-400_AsyncScalarFunction-for-asynchronous-scalar-function-support_PR-23975.md
Apache-Flink_FLIP-498_AsyncTableFunction-for-async-table-function-support_PR-26567,Apache Flink - FLIP-498: AsyncTableFunction for async table function support,9.0,6,5.4,scores/Apache-Flink_FLIP-498_AsyncTableFunction-for-async-table-function-support_PR-26567.md,requirement_pr_pairs/Apache-Flink_FLIP-498_AsyncTableFunction-for-async-table-function-support_PR-26567.md
Apache-Flink_FLIP-475_Support-Adaptive-Skewed-Join-Optimization_PR-25859,Apache Flink - FLIP-475: Support Adaptive Skewed Join Optimization,8.1,7,6.3,scores/Apache-Flink_FLIP-475_Support-Adaptive-Skewed-Join-Optimization_PR-25859.md,requirement_pr_pairs/Apache-Flink_FLIP-475_Support-Adaptive-Skewed-Join-Optimization_PR-25859.md
Apache-Arrow_Issue-45750_C-Python-Parquet-Support-Content-Defined-Chunking-of-P_PR-45360,Apache Arrow - Issue-45750: [C++][Python][Parquet] Support Content-Defined Chunking of Parquet files,9.0,1,1.0,scores/Apache-Arrow_Issue-45750_C-Python-Parquet-Support-Content-Defined-Chunking-of-P_PR-45360.md,requirement_pr_pairs/Apache-Arrow_Issue-45750_C-Python-Parquet-Support-Content-Defined-Chunking-of-P_PR-45360.md
Apache-Iceberg_FLIP-143_Unified-Sink-API_PR-10179,Apache Iceberg - FLIP-143: Unified Sink API,9.2,1,1.0,scores/Apache-Iceberg_FLIP-143_Unified-Sink-API_PR-10179.md,requirement_pr_pairs/Apache-Iceberg_FLIP-143_Unified-Sink-API_PR-10179.md
OpenJDK_JEP-443_Unnamed-Patterns-and-Variables-Preview_PR-13528,OpenJDK - JEP 443: Unnamed Patterns and Variables (Preview),9.0,4,3.5,scores/OpenJDK_JEP-443_Unnamed-Patterns-and-Variables-Preview_PR-13528.md,requirement_pr_pairs/OpenJDK_JEP-443_Unnamed-Patterns-and-Variables-Preview_PR-13528.md
OpenJDK_JEP-445_Unnamed-Classes-and-Instance-Main-Methods-Preview_PR-13689,OpenJDK - JEP 445: Unnamed Classes and Instance Main Methods (Preview),8.8,3,3.0,scores/OpenJDK_JEP-445_Unnamed-Classes-and-Instance-Main-Methods-Preview_PR-13689.md,requirement_pr_pairs/OpenJDK_JEP-445_Unnamed-Classes-and-Instance-Main-Methods-Preview_PR-13689.md
OpenJDK_JEP-451_Prepare-to-Disallow-the-Dynamic-Loading-of-Agents_PR-13899,OpenJDK - JEP 451: Prepare to Disallow the Dynamic Loading of Agents,9.0,1,1.0,scores/OpenJDK_JEP-451_Prepare-to-Disallow-the-Dynamic-Loading-of-Agents_PR-13899.md,requirement_pr_pairs/OpenJDK_JEP-451_Prepare-to-Disallow-the-Dynamic-Loading-of-Agents_PR-13899.md
OpenJDK_JEP-454_Foreign-Function-amp-Memory-API_PR-15103,OpenJDK - JEP 454: Foreign Function & Memory API,9.2,11,11.0,scores/OpenJDK_JEP-454_Foreign-Function-amp-Memory-API_PR-15103.md,requirement_pr_pairs/OpenJDK_JEP-454_Foreign-Function-amp-Memory-API_PR-15103.md
OpenJDK_JEP-457_Class-File-API-Preview_PR-15706,OpenJDK - JEP 457: Class-File API (Preview),8.6,3,2.5,scores/OpenJDK_JEP-457_Class-File-API-Preview_PR-15706.md,requirement_pr_pairs/OpenJDK_JEP-457_Class-File-API-Preview_PR-15706.md
OpenJDK_JEP-502_Stable-Values-Preview_PR-23972,OpenJDK - JEP 502: Stable Values (Preview),9.2,3,2.7,scores/OpenJDK_JEP-502_Stable-Values-Preview_PR-23972.md,requirement_pr_pairs/OpenJDK_JEP-502_Stable-Values-Preview_PR-23972.md
OpenJDK_JEP-504_Remove-the-Applet-API_PR-25698,OpenJDK - JEP 504: Remove the Applet API,8.6,2,1.4,scores/OpenJDK_JEP-504_Remove-the-Applet-API_PR-25698.md,requirement_pr_pairs/OpenJDK_JEP-504_Remove-the-Applet-API_PR-25698.md
OpenJDK_JEP-512_Compact-Source-Files-and-Instance-Main-Methods_PR-24438,OpenJDK - JEP 512: Compact Source Files and Instance Main Methods,9.0,4,4.0,scores/OpenJDK_JEP-512_Compact-Source-Files-and-Instance-Main-Methods_PR-24438.md,requirement_pr_pairs/OpenJDK_JEP-512_Compact-Source-Files-and-Instance-Main-Methods_PR-24438.md
TypeScript_proposal-explicit-resource-management_PR-54505,TypeScript - Proposal: ECMAScript Explicit Resource Management,9.1,8,8.0,scores/TypeScript_proposal-explicit-resource-management_PR-54505.md,requirement_pr_pairs/TypeScript_proposal-explicit-resource-management_PR-54505.md
TypeScript_Issue-47920_satisfies-operator-to-ensure-an-expression-matches-some-type-safe-upcast_PR-46827,TypeScript - Issue #47920: satisfies operator to ensure an expression matches some type,9.0,2,1.8,scores/TypeScript_Issue-47920_satisfies-operator-to-ensure-an-expression-matches-some-type-safe-upcast_PR-46827.md,requirement_pr_pairs/TypeScript_Issue-47920_satisfies-operator-to-ensure-an-expression-matches-some-type-safe-upcast_PR-46827.md
Next.js_RFC-Middleware_PR-30081,Next.js - RFC: Middleware,8.1,1,1.0,scores/Next.js_RFC-Middleware_PR-30081.md,requirement_pr_pairs/Next.js_RFC-Middleware_PR-30081.md
Rust_RFC-3624-supertrait-item-shadowing_PR-125782,Rust - RFC 3624: Supertrait Item Shadowing,9.0,1,1.0,scores/Rust_RFC-3624-supertrait-item-shadowing_PR-125782.md,requirement_pr_pairs/Rust_RFC-3624-supertrait-item-shadowing_PR-125782.md
Apache-Kafka_KIP-980_Allow-creating-connectors-in-a-stopped-state_PR-14704,Apache Kafka - KIP-980: Allow creating connectors in a stopped state,9.0,4,3.0,scores/Apache-Kafka_KIP-980_Allow-creating-connectors-in-a-stopped-state_PR-14704.md,requirement_pr_pairs/Apache-Kafka_KIP-980_Allow-creating-connectors-in-a-stopped-state_PR-14704.md
Rust_3373-avoid-nonlocal-definitions-in-fns_PR-120393,Rust - RFC 3373: Avoid Non-Local Definitions in Functions,9.2,1,1.0,scores/Rust_3373-avoid-nonlocal-definitions-in-fns_PR-120393.md,requirement_pr_pairs/Rust_3373-avoid-nonlocal-definitions-in-fns_PR-120393.md
