instance_id,source_slug,docker_slug,repo_name,repo_owner,repo_full_name,repo_sequence_id,project_name,pr_link,pr_merge_date,base_commit,requirement_doc_link,mapped_file,req_doc_file
flink_7,Apache-Flink_FLIP-467-Introduce-Generalized-Watermarks_PR-25731,Apache-Flink_FLIP-467-Introduce-Generalized-Watermarks_PR-25731,flink,apache,apache/flink,7,Apache Flink,https://github.com/apache/flink/pull/25731,2025-01-08,f0c8f18ee09297c4c92b36d8ce7d0e0259f80178,https://cwiki.apache.org/confluence/display/FLINK/FLIP-467,Apache-Flink_FLIP-467-Introduce-Generalized-Watermarks_PR-25731.md,Apache-Flink_FLIP-467-Introduce-Generalized-Watermarks_PR-25731.md
flink_8,Apache-Flink_FLIP-475_Support-Adaptive-Skewed-Join-Optimization_PR-25859,Apache-Flink_FLIP-475_Support-Adaptive-Skewed-Join-Optimization_PR-25859,flink,apache,apache/flink,8,Apache Flink,https://github.com/apache/flink/pull/25859,2025-01-14,fd0222041b1a8512b8da9a9d1a0265d62b4462e0,https://cwiki.apache.org/confluence/display/FLINK/FLIP-475:+Support+Adaptive+Skewed+Join+Optimization,Apache-Flink_FLIP-475_Support-Adaptive-Skewed-Join-Optimization_PR-25859.md,Apache-Flink_FLIP-475_Support-Adaptive-Skewed-Join-Optimization_PR-25859.md
flink_9,Apache-Flink_FLIP-499-Support-Event-Time-by-Generalized-Watermark-in-Data_PR-25978,Apache-Flink_FLIP-499-Support-Event-Time-by-Generalized-Watermark-in-Data_PR-25978,flink,apache,apache/flink,9,Apache Flink,https://github.com/apache/flink/pull/25978,2025-01-17,c4bea91284bf1871e23a4c93fbf9f3b65b1a89d4,https://cwiki.apache.org/confluence/display/FLINK/FLIP-499,Apache-Flink_FLIP-499-Support-Event-Time-by-Generalized-Watermark-in-Data_PR-25978.md,Apache-Flink_FLIP-499-Support-Event-Time-by-Generalized-Watermark-in-Data_PR-25978.md
flink_10,Apache-Flink_FLIP-501-Support-Window-Extension-in-DataStream-V2-API_PR-26001,Apache-Flink_FLIP-501-Support-Window-Extension-in-DataStream-V2-API_PR-26001,flink,apache,apache/flink,10,Apache Flink,https://github.com/apache/flink/pull/26001,2025-01-18,180d587717ba0997c35f89e080974851eea7a938,https://cwiki.apache.org/confluence/display/FLINK/FLIP-501,Apache-Flink_FLIP-501-Support-Window-Extension-in-DataStream-V2-API_PR-26001.md,Apache-Flink_FLIP-501-Support-Window-Extension-in-DataStream-V2-API_PR-26001.md
flink_11,Apache-Flink_FLIP-498_AsyncTableFunction-for-async-table-function-support_PR-26567,Apache-Flink_FLIP-498_AsyncTableFunction-for-async-table-function-support_PR-26567,flink,apache,apache/flink,11,Apache Flink,https://github.com/apache/flink/pull/26567,2025-07-20,7309fe832cb303c9adf6bfb441790e3d293908fe,https://cwiki.apache.org/confluence/display/FLINK/FLIP-498:+AsyncTableFunction+for+async+table+function+support,Apache-Flink_FLIP-498_AsyncTableFunction-for-async-table-function-support_PR-26567.md,Apache-Flink_FLIP-498_AsyncTableFunction-for-async-table-function-support_PR-26567.md
flink_12,Apache-Flink_FLIP-486-Introduce-A-New-DeltaJoin_PR-27099,Apache-Flink_FLIP-486-Introduce-A-New-DeltaJoin_PR-27099,flink,apache,apache/flink,12,Apache Flink,https://github.com/apache/flink/pull/27099,2025-10-22,1a7c0f1bcdc92d550d38a85fee1900572e6aaac5,https://cwiki.apache.org/confluence/display/FLINK/FLIP-486,Apache-Flink_FLIP-486-Introduce-A-New-DeltaJoin_PR-27099.md,Apache-Flink_FLIP-486-Introduce-A-New-DeltaJoin_PR-27099.md
flink_13,Apache-Flink_FLINK-39261-FROM_CHANGELOG-built-in-process-table-function_PR-27901,Apache-Flink_FLINK-39261-FROM_CHANGELOG-built-in-process-table-function_PR-27901,flink,apache,apache/flink,13,Apache Flink,https://github.com/apache/flink/pull/27901,2026-04-20,bab97bb7542248a9dd113fa1c92c1174d203d882,https://issues.apache.org/jira/browse/FLINK-39261,Apache-Flink_FLINK-39261_PR-27901.md,Apache-Flink_FLINK-39261_PR-27901.md
iceberg_1,Apache-Iceberg_PR-10179_IcebergSink-V2,Apache-Iceberg_PR-10179_IcebergSink-V2,iceberg,apache,apache/iceberg,1,Apache Iceberg,https://github.com/apache/iceberg/pull/10179,2024-08-26,9aa354d2224eb78c19c773227693df117954312b,https://github.com/apache/iceberg/pull/10179,Apache-Iceberg_FLIP-143_Unified-Sink-API_PR-10179.md,Apache-Iceberg_FLIP-143_Unified-Sink-API_PR-10179.md
kafka_1,Apache-Kafka_KIP-470_TopologyTestDriver-test-input-and-output-usability-improvements_PR-7378,Apache-Kafka_KIP-470_TopologyTestDriver-test-input-and-output-usability-improvements_PR-7378,kafka,apache,apache/kafka,1,Apache Kafka,https://github.com/apache/kafka/pull/7378,2019-10-07,0de61a4683b92bdee803c51211c3277578ab3edf,https://cwiki.apache.org/confluence/display/KAFKA/KIP-470%3A+TopologyTestDriver+test+input+and+output+usability+improvements,Apache-Kafka_KIP-470_TopologyTestDriver-test-input-and-output-usability-improvements_PR-7378.md,Apache-Kafka_KIP-470_TopologyTestDriver-test-input-and-output-usability-improvements_PR-7378.md
kafka_2,Apache-Kafka_KIP-769-Connect-APIs-to-list-all-connector-plugins-and-retri_PR-11572,Apache-Kafka_KIP-769-Connect-APIs-to-list-all-connector-plugins-and-retri_PR-11572,kafka,apache,apache/kafka,2,Apache Kafka,https://github.com/apache/kafka/pull/11572,2022-03-03,066cdc8c621dfc4d26e12ee539368d6c1eb2707f,https://cwiki.apache.org/confluence/display/KAFKA/KIP-769,Apache-Kafka_KIP-769-Connect-APIs-to-list-all-connector-plugins-and-retri_PR-11572.md,Apache-Kafka_KIP-769-Connect-APIs-to-list-all-connector-plugins-and-retri_PR-11572.md
kafka_3,Apache-Kafka_KIP-820-Extend-KStream-process-with-new-Processor-API_PR-11993,Apache-Kafka_KIP-820-Extend-KStream-process-with-new-Processor-API_PR-11993,kafka,apache,apache/kafka,3,Apache Kafka,https://github.com/apache/kafka/pull/11993,2022-04-19,9ec232fde850fc410d4adb07e1f259cab21336ad,https://cwiki.apache.org/confluence/display/KAFKA/KIP-820,Apache-Kafka_KIP-820-Extend-KStream-process-with-new-Processor-API_PR-11993.md,Apache-Kafka_KIP-820-Extend-KStream-process-with-new-Processor-API_PR-11993.md
kafka_4,Apache-Kafka_KIP-787-MM2-manage-Kafka-resources-with-custom-Admin-impleme_PR-12577,Apache-Kafka_KIP-787-MM2-manage-Kafka-resources-with-custom-Admin-impleme_PR-12577,kafka,apache,apache/kafka,4,Apache Kafka,https://github.com/apache/kafka/pull/12577,2022-11-15,a55071a99fabc9a706afa0e9acddf898c7cd05c4,https://cwiki.apache.org/confluence/display/KAFKA/KIP-787,Apache-Kafka_KIP-787-MM2-manage-Kafka-resources-with-custom-Admin-impleme_PR-12577.md,Apache-Kafka_KIP-787-MM2-manage-Kafka-resources-with-custom-Admin-impleme_PR-12577.md
kafka_5,Apache-Kafka_KIP-980_Allow-creating-connectors-in-a-stopped-state_PR-14704,Apache-Kafka_KIP-980_Allow-creating-connectors-in-a-stopped-state_PR-14704,kafka,apache,apache/kafka,5,Apache Kafka,https://github.com/apache/kafka/pull/14704,2023-11-15,83b7c9a053546e59546d8ff904025a21bd41daa7,https://cwiki.apache.org/confluence/display/KAFKA/KIP-980%3A+Allow+creating+connectors+in+a+stopped+state,Apache-Kafka_KIP-980_Allow-creating-connectors-in-a-stopped-state_PR-14704.md,Apache-Kafka_KIP-980_Allow-creating-connectors-in-a-stopped-state_PR-14704.md
kafka_6,Apache-Kafka_KIP-954-expand-default-DSL-store-configuration-to-custom-typ_PR-14648,Apache-Kafka_KIP-954-expand-default-DSL-store-configuration-to-custom-typ_PR-14648,kafka,apache,apache/kafka,6,Apache Kafka,https://github.com/apache/kafka/pull/14648,2023-11-21,24aa9e0f411d8eaa773f24efc7d34091ea43a503,https://cwiki.apache.org/confluence/display/KAFKA/KIP-954,Apache-Kafka_KIP-954-expand-default-DSL-store-configuration-to-custom-typ_PR-14648.md,Apache-Kafka_KIP-954-expand-default-DSL-store-configuration-to-custom-typ_PR-14648.md
kafka_7,Apache-Kafka_KIP-1241-Reduce-tiered-storage-redundancy-with-delayed-upload_PR-20913,Apache-Kafka_KIP-1241-Reduce-tiered-storage-redundancy-with-delayed-upload_PR-20913,kafka,apache,apache/kafka,7,Apache Kafka,https://github.com/apache/kafka/pull/20913,2026-05-22,c5f16d2790d36641fa05a9f0c9f1bb7a6046e2b0,https://cwiki.apache.org/confluence/display/KAFKA/KIP-1241%3A+Reduce+tiered+storage+redundancy+with+delayed+upload,Apache-Kafka_KIP-1241-Reduce-tiered-storage-redundancy_PR-20913.md,Apache-Kafka_KIP-1241-Reduce-tiered-storage-redundancy_PR-20913.md
aspnetcore_1,ASP.NET-Core_Issue-62883_PR-62816,ASP.NET-Core_Issue-62883_PR-62816,aspnetcore,dotnet,dotnet/aspnetcore,1,ASP.NET Core,https://github.com/dotnet/aspnetcore/pull/62816,2025-07-24,c56ce2f92858158819569e11d4131c09fd847764,https://github.com/dotnet/aspnetcore/issues/62883,ASP.NET-Core_Issue-62883_PR-62816.md,ASP.NET-Core_Issue-62883_PR-62816.md
cargo_1,Cargo_RFC-3553-SBOM-support_PR-13709,Cargo_RFC-3553-SBOM-support_PR-13709,cargo,rust-lang,rust-lang/cargo,1,Cargo,https://github.com/rust-lang/cargo/pull/13709,2025-02-26,392d68bff462015e8e7d8588333a09b08b4a10a6,https://github.com/rust-lang/rfcs/pull/3553,Cargo_PR-3553_PR-13709.md,Cargo_PR-3553_PR-13709.md
cert-manager_1,cert-manager_certificate-renewal-control_PR-8258,cert-manager_certificate-renewal-control_PR-8258,cert-manager,cert-manager,cert-manager/cert-manager,1,cert-manager,https://github.com/cert-manager/cert-manager/pull/8258,2026-03-23,788c2f25fe3542e0163cd8d295efd215b3ccbe3b,https://github.com/cert-manager/cert-manager/pull/8258,cert-manager_certificate-renewal-control_PR-8258.md,cert-manager_certificate-renewal-control_PR-8258.md
cpython_1,CPython_PEP-617_New-PEG-parser-for-CPython_PR-19503,CPython_PEP-617_New-PEG-parser-for-CPython_PR-19503,cpython,python,python/cpython,1,CPython,https://github.com/python/cpython/pull/19503,2020-04-22,a81849b0315277bb3937271174aaaa5059c0b445,https://peps.python.org/pep-0617/,CPython_PEP-617_New-PEG-parser-for-CPython_PR-19503.md,CPython_PEP-617_New-PEG-parser-for-CPython_PR-19503.md
cpython_2,CPython_PEP-615_Support-for-the-IANA-Time-Zone-Database-in-the-Standard-Library_PR-19909,CPython_PEP-615_Support-for-the-IANA-Time-Zone-Database-in-the-Standard-Library_PR-19909,cpython,python,python/cpython,2,CPython,https://github.com/python/cpython/pull/19909,2020-05-16,6e8cda91d92da72800d891b2fc2073ecbc134d98,https://peps.python.org/pep-0615/,CPython_PEP-615_Support-for-the-IANA-Time-Zone-Database-in-the-Standard-Library_PR-19909.md,CPython_PEP-615_Support-for-the-IANA-Time-Zone-Database-in-the-Standard-Library_PR-19909.md
cpython_3,CPython_PEP-634_Structural-Pattern-Matching_PR-22917,CPython_PEP-634_Structural-Pattern-Matching_PR-22917,cpython,python,python/cpython,3,CPython,https://github.com/python/cpython/pull/22917,2021-02-26,cc02b4f2e810ab524d845daa18bc94df5b092dd8,https://peps.python.org/pep-0634/,CPython_PEP-634_Structural-Pattern-Matching-Specification_PR-22917.md,CPython_PEP-634_Structural-Pattern-Matching-Specification_PR-22917.md
cpython_4,CPython_PEP-654_Exception-Groups-and-except_PR-29581,CPython_PEP-654_Exception-Groups-and-except_PR-29581,cpython,python,python/cpython,4,CPython,https://github.com/python/cpython/pull/29581,2021-12-14,850aefc2c651110a784cd5478af9774b1f6287a3,https://peps.python.org/pep-0654/,CPython_PEP-654_Exception-Groups-and-except_PR-29581.md,CPython_PEP-654_Exception-Groups-and-except_PR-29581.md
cpython_5,CPython_PEP-680_tomllib-Support-for-Parsing-TOML-in-the-Standard-Library_PR-31498,CPython_PEP-680_tomllib-Support-for-Parsing-TOML-in-the-Standard-Library_PR-31498,cpython,python,python/cpython,5,CPython,https://github.com/python/cpython/pull/31498,2022-03-08,0b5a573ce8e8e90daad4d24b215aabb7356f4fce,https://peps.python.org/pep-0680/,CPython_PEP-680_tomllib-Support-for-Parsing-TOML-in-the-Standard-Library_PR-31498.md,CPython_PEP-680_tomllib-Support-for-Parsing-TOML-in-the-Standard-Library_PR-31498.md
cpython_6,CPython_PEP-646_Variadic-Generics_PR-31018,CPython_PEP-646_Variadic-Generics_PR-31018,cpython,python,python/cpython,6,CPython,https://github.com/python/cpython/pull/31018,2022-03-26,26cca8067bf5306e372c0e90036d832c5021fd90,https://peps.python.org/pep-0646/,CPython_PEP-646_Variadic-Generics_PR-31018.md,CPython_PEP-646_Variadic-Generics_PR-31018.md
cpython_7,CPython_PEP-669_Low-Impact-Monitoring-for-CPython_PR-103083,CPython_PEP-669_Low-Impact-Monitoring-for-CPython_PR-103083,cpython,python,python/cpython,7,CPython,https://github.com/python/cpython/pull/103083,2023-04-12,dce2d38cb04b541bad477ccc1040a68fa70a9a69,https://peps.python.org/pep-0669/,CPython_PEP-669_Low-Impact-Monitoring-for-CPython_PR-103083.md,CPython_PEP-669_Low-Impact-Monitoring-for-CPython_PR-103083.md
cpython_8,CPython_PEP-701_Syntactic-formalization-of-f-strings_PR-102855,CPython_PEP-701_Syntactic-formalization-of-f-strings_PR-102855,cpython,python,python/cpython,8,CPython,https://github.com/python/cpython/pull/102855,2023-04-19,a6b07b5a345f7f54ee9f6d75e81d2fb55971b35c,https://peps.python.org/pep-0701/,CPython_PEP-701_Syntactic-formalization-of-f-strings_PR-102855.md,CPython_PEP-701_Syntactic-formalization-of-f-strings_PR-102855.md
cpython_9,CPython_PEP-709_Inlined-comprehensions_PR-101441,CPython_PEP-709_Inlined-comprehensions_PR-101441,cpython,python,python/cpython,9,CPython,https://github.com/python/cpython/pull/101441,2023-05-09,0aeda297931820436a50b78f4f7f0597274b5df4,https://peps.python.org/pep-0709/,CPython_PEP-709_Inlined-comprehensions_PR-101441.md,CPython_PEP-709_Inlined-comprehensions_PR-101441.md
cpython_10,CPython_PEP-695_Type-Parameter-Syntax_PR-103764,CPython_PEP-695_Type-Parameter-Syntax_PR-103764,cpython,python,python/cpython,10,CPython,https://github.com/python/cpython/pull/103764,2023-05-16,fdafdc235e74f2f4fedc1f745bf8b90141daa162,https://peps.python.org/pep-0695/,CPython_PEP-695_Type-Parameter-Syntax_PR-103764.md,CPython_PEP-695_Type-Parameter-Syntax_PR-103764.md
cpython_11,CPython_PEP-696_Type-Defaults-for-Type-Parameters_PR-116129,CPython_PEP-696_Type-Defaults-for-Type-Parameters_PR-116129,cpython,python,python/cpython,11,CPython,https://github.com/python/cpython/pull/116129,2024-05-03,852263e1086748492602a90347ecc0a3925e1dda,https://peps.python.org/pep-0696/,CPython_PEP-696_Type-Defaults-for-Type-Parameters_PR-116129.md,CPython_PEP-696_Type-Defaults-for-Type-Parameters_PR-116129.md
cpython_12,CPython_PEP-649_Deferred-Evaluation-Of-Annotations-Using-Descriptors_PR-119891,CPython_PEP-649_Deferred-Evaluation-Of-Annotations-Using-Descriptors_PR-119891,cpython,python,python/cpython,12,CPython,https://github.com/python/cpython/pull/119891,2024-07-23,64e221d7ada8f6c20189035c7e81503f4c914f04,https://peps.python.org/pep-0649/,CPython_PEP-649_Deferred-Evaluation-Of-Annotations-Using-Descriptors_PR-119891.md,CPython_PEP-649_Deferred-Evaluation-Of-Annotations-Using-Descriptors_PR-119891.md
cpython_13,CPython_PEP-750_Template-Strings_PR-132662,CPython_PEP-750_Template-Strings_PR-132662,cpython,python,python/cpython,13,CPython,https://github.com/python/cpython/pull/132662,2025-04-30,5ea9010e8910cb97555c3aef4ed95cca93a74aab,https://peps.python.org/pep-0750/,CPython_PEP-750_Template-Strings_PR-132662.md,CPython_PEP-750_Template-Strings_PR-132662.md
cpython_14,CPython_PEP-791_math-integer-submodule-for-integer-specific-mathematics-functions_PR-133909,CPython_PEP-791_math-integer-submodule-for-integer-specific-mathematics-functions_PR-133909,cpython,python,python/cpython,14,CPython,https://github.com/python/cpython/pull/133909,2025-10-31,680a5d070f59798bb88a1bb6eb027482b8d85c34,https://peps.python.org/pep-0791/,CPython_PEP-791_math-integer-submodule-for-integer-specific-mathematics-functions_PR-133909.md,CPython_PEP-791_math-integer-submodule-for-integer-specific-mathematics-functions_PR-133909.md
cpython_15,CPython_PEP-793_PyModExport-A-new-entry-point-for-C-extension-modules_PR-140556,CPython_PEP-793_PyModExport-A-new-entry-point-for-C-extension-modules_PR-140556,cpython,python,python/cpython,15,CPython,https://github.com/python/cpython/pull/140556,2025-11-05,f2bce51b984f52db14d90f7bbd0b7df00b7c5637,https://peps.python.org/pep-0793/,CPython_PEP-793_PyModExport-A-new-entry-point-for-C-extension-modules_PR-140556.md,CPython_PEP-793_PyModExport-A-new-entry-point-for-C-extension-modules_PR-140556.md
cpython_16,CPython_PEP-798-Unpacking-In-Subscripts_PR-143056,CPython_PEP-798-Unpacking-In-Subscripts_PR-143056,cpython,python,python/cpython,16,CPython,https://github.com/python/cpython/pull/143056,2026-01-31,5f57f6970bdea45cc2b192d612bfd8199f51491e,https://peps.python.org/pep-0798/,CPython_PEP-0798_PR-143056.md,CPython_PEP-0798_PR-143056.md
cpython_17,CPython_PEP-810_Explicit-lazy-imports_PR-142351,CPython_PEP-810_Explicit-lazy-imports_PR-142351,cpython,python,python/cpython,17,CPython,https://github.com/python/cpython/pull/142351,2026-02-12,cac0c98450c27dbb6e185ab1c05e1d51d34135d9,https://peps.python.org/pep-0810/,CPython_PEP-810_Explicit-lazy-imports_PR-142351.md,CPython_PEP-810_Explicit-lazy-imports_PR-142351.md
cpython_18,CPython_PEP-820-PySlot-Unified-Slot-System_PR-149055,CPython_PEP-820-PySlot-Unified-Slot-System_PR-149055,cpython,python,python/cpython,18,CPython,https://github.com/python/cpython/pull/149055,2026-05-05,5dd21617164cf69e848a70e3d7e32faf0bc3f279,https://peps.python.org/pep-0820/,CPython_PEP-0820_PR-149055.md,CPython_PEP-0820_PR-149055.md
django_1,Django_DEP-0201-Simplified-routing-syntax_PR-7482,Django_DEP-0201-Simplified-routing-syntax_PR-7482,django,django,django/django,1,Django,https://github.com/django/django/pull/7482,2017-09-20,c4c128d67c7dc2830631c6859a204c9d259f1fb1,https://github.com/django/deps/blob/main/final/0201-simplified-routing-syntax.rst,Django_DEP-0201-Simplified-routing-syntax_PR-7482.md,Django_DEP-0201-Simplified-routing-syntax_PR-7482.md
duckdb_1,DuckDB_Expressions-In-Create-Secret_PR-15801,DuckDB_Expressions-In-Create-Secret_PR-15801,duckdb,duckdb,duckdb/duckdb,1,DuckDB,https://github.com/duckdb/duckdb/pull/15801,2025-03-28,77849ba91ccecd52dd1f082034d7953818d5ea30,https://github.com/duckdb/duckdb/issues/14829,DuckDB_Issue-14829_ENV-var-interpolation-does-not-work-with-EXTRA_HTTP_HEADERS_PR-15801.md,DuckDB_Issue-14829_ENV-var-interpolation-does-not-work-with-EXTRA_HTTP_HEADERS_PR-15801.md
fastapi_1,FastAPI_PEP-593_Flexible-function-and-variable-annotations_PR-4871,FastAPI_PEP-593_Flexible-function-and-variable-annotations_PR-4871,fastapi,fastapi,fastapi/fastapi,1,FastAPI,https://github.com/fastapi/fastapi/pull/4871,2023-03-17,ef176c663195489b44030bfe1fb94a317762c8d5,https://peps.python.org/pep-0593/,FastAPI_PEP-593_Flexible-function-and-variable-annotations_PR-4871.md,FastAPI_PEP-593_Flexible-function-and-variable-annotations_PR-4871.md
grpc-go_1,gRPC-Go_A76-ring-hash-improvements_PR-8159,gRPC-Go_A76-ring-hash-improvements_PR-8159,grpc-go,grpc,grpc/grpc-go,1,gRPC-Go,https://github.com/grpc/grpc-go/pull/8159,2025-04-08,a51009d1d7074ee1efcd323578064cbe44ef87e5,https://github.com/grpc/grpc-go/pull/8159,gRPC-Go_A76-ring-hash-improvements_PR-8159.md,gRPC-Go_A76-ring-hash-improvements_PR-8159.md
kubernetes_1,Kubernetes_KEP-3866_nftables-proxy_PR-121046,Kubernetes_KEP-3866_nftables-proxy_PR-121046,kubernetes,kubernetes,kubernetes/kubernetes,1,Kubernetes,https://github.com/kubernetes/kubernetes/pull/121046,2023-11-01,3631efd85c1a772b518ad49fb20bb5b5454e6b90,https://github.com/kubernetes/enhancements/blob/master/keps/sig-network/3866-nftables-proxy/README.md,Kubernetes_KEP-3866_nftables-proxy_PR-121046.md,Kubernetes_KEP-3866_nftables-proxy_PR-121046.md
kubernetes_2,Kubernetes_KEP-4358_custom-resource-field-selectors_PR-122717,Kubernetes_KEP-4358_custom-resource-field-selectors_PR-122717,kubernetes,kubernetes,kubernetes/kubernetes,2,Kubernetes,https://github.com/kubernetes/kubernetes/pull/122717,2024-02-29,54f9807e1e84981b2053f4daf779f5ed19962144,https://github.com/kubernetes/enhancements/blob/master/keps/sig-api-machinery/4358-custom-resource-field-selectors/README.md,Kubernetes_KEP-4358_custom-resource-field-selectors_PR-122717.md,Kubernetes_KEP-4358_custom-resource-field-selectors_PR-122717.md
kubernetes_3,Kubernetes_KEP-4960_container-stop-signals_PR-130556,Kubernetes_KEP-4960_container-stop-signals_PR-130556,kubernetes,kubernetes,kubernetes/kubernetes,3,Kubernetes,https://github.com/kubernetes/kubernetes/pull/130556,2025-03-24,62555cadc741a8aef31acab05e9ed60f897edb1b,https://github.com/kubernetes/enhancements/blob/master/keps/sig-node/4960-container-stop-signals/README.md,Kubernetes_KEP-4960_container-stop-signals_PR-130556.md,Kubernetes_KEP-4960_container-stop-signals_PR-130556.md
kubernetes_4,Kubernetes_KEP-4762_allow-arbitrary-fqdn-as-pod-hostname_PR-132558,Kubernetes_KEP-4762_allow-arbitrary-fqdn-as-pod-hostname_PR-132558,kubernetes,kubernetes,kubernetes/kubernetes,4,Kubernetes,https://github.com/kubernetes/kubernetes/pull/132558,2025-07-23,49af85d86a1a265e53753edee1a1214e29cbbabd,https://github.com/kubernetes/kubernetes/pull/132558,Kubernetes_KEP-4762_allow-arbitrary-fqdn-as-pod-hostname_PR-132558.md,Kubernetes_KEP-4762_allow-arbitrary-fqdn-as-pod-hostname_PR-132558.md
